,A,y
0,0.750363163839,13
1,0.711708726456,50
2,0.0404123120451,21
3,0.980684650409,77
4,0.31599917445,16
5,0.748432873965,8
6,0.19185878387,45
7,0.470967089154,90
8,0.414255445766,88
9,0.483452638596,54
10,0.87544964297,58
11,0.695198353382,31
12,0.224458060457,59
13,0.801042543622,6
14,0.315528348965,93
15,0.459327170601,40
16,0.120077465952,81
17,0.775039813474,1
18,0.387041457091,73
19,0.930670912935,39
20,0.9048212471,83
21,0.344898635141,83
22,0.991753574403,20
23,0.044997712172,2
24,0.832013056051,97
25,0.876891741413,93
26,0.318996172846,30
27,0.243685022364,48
28,0.490911562266,22
29,0.341856847995,80
30,0.818300715857,48
31,0.473458929845,80
32,0.217461167878,23
33,0.292925396712,76
34,0.051287457416,29
35,0.0318551649521,24
36,0.34301387014,14
37,0.548277938843,60
38,0.199088527802,80
39,0.766577663506,36
40,0.0316110255179,95
41,0.695267234433,39
42,0.399083342477,30
43,0.820452232441,49
44,0.654855239055,26
45,0.694149510665,96
46,0.0887375604737,80
47,0.0799638918131,13
48,0.825579429982,42
49,0.693430819427,95
50,0.244142462467,32
51,0.978316465092,57
52,0.0897039235288,70
53,0.271011114598,53
54,0.887891403505,32
55,0.713500035017,18
56,0.0777978173941,97
57,0.611293234369,73
58,0.328153499609,91
59,0.738878358127,80
60,0.223344320492,67
61,0.100399784566,60
62,0.0739118207794,71
63,0.179866904832,36
64,0.518699902823,85
65,0.0144454678062,5
66,0.934225156494,30
67,0.757610332269,24
68,0.572035412098,44
69,0.0781124793888,93
70,0.579307940919,48
71,0.108734726245,28
72,0.374705566013,93
73,0.0944586349223,98
74,0.150283555327,66
75,0.541353084976,18
76,0.948990195474,38
77,0.429421036054,16
78,0.075700465477,4
79,0.698351854003,12
80,0.751503354247,91
81,0.0585743714682,25
82,0.269099888804,85
83,0.0834572954069,57
84,0.844432581253,96
85,0.933418734605,79
86,0.958946853766,24
87,0.816178654267,51
88,0.0473245285887,83
89,0.983664706766,32
90,0.356218274702,12
91,0.591676532635,90
92,0.765721149339,34
93,0.963485677506,61
94,0.108309478492,5
95,0.989222982079,87
96,0.0249057676818,31
97,0.680327017567,53
98,0.657317207107,69
99,0.265404617001,10
100,0.489485678936,47
101,0.630032098772,85
102,0.583353809905,32
104,0.0135093153669,13
105,0.583426533649,38
106,0.168003640366,41
107,0.512587064579,35
108,0.995710027234,54
109,0.71498990822,89
110,0.180688756715,5
111,0.0611230913904,19
112,0.823781358431,9
113,0.548642811563,1
114,0.0374040932042,60
115,0.580756868687,86
116,0.0032492997121,57
117,0.0937559336284,21
118,0.0751490691469,1
119,0.944414294406,3
120,0.0247140202273,67
121,0.940484785672,85
122,0.762755002832,88
123,0.131427382709,96
124,0.240487240455,21
125,0.762671541058,50
126,0.416379835678,15
