,A,y
0,0.776864784644,32
1,1.41186832629,58
2,-1.49326804644,84
3,-1.53658213933,67
4,1.38338450384,43
5,-0.774741594806,24
6,0.817881173933,82
7,0.642745623984,25
8,0.799836207585,48
9,0.037648576191,52
10,-0.646008434643,93
11,1.12098985971,15
12,-0.194795097221,96
13,0.192455359672,74
14,0.774862046549,92
15,-0.80856462405,18
16,-1.09830785706,66
17,-0.438336060516,49
18,1.54062995765,22
19,0.365319393645,38
20,0.291106341043,95
21,0.749770554324,10
22,1.21626866071,86
23,-1.72236496231,14
24,1.43839975982,9
25,0.401537461513,71
26,-0.090438880824,88
27,-0.178384724112,19
28,-2.52323374699,60
29,0.408039571454,36
30,-0.0144139606876,23
31,0.0681949817352,47
32,0.00663869849008,43
33,-0.401207015207,18
34,0.183492810479,47
35,0.653228923105,95
36,1.02089474828,29
37,0.0701248397984,34
38,-0.311622692463,10
39,-1.37089226465,22
40,-1.05539336508,83
41,-0.236451882318,62
42,-0.444064608814,33
43,0.171317819617,71
44,-0.35232951221,83
45,2.13391220968,53
46,0.274415224961,71
47,-0.339472383473,85
48,-1.68914138608,2
49,1.33419161431,46
50,-0.896462576859,75
51,-1.373581203,33
52,0.171645175546,24
53,0.481669300265,23
54,-1.33234532455,44
55,0.96232800935,93
56,0.851469447454,47
57,0.212109535369,66
58,0.0882659040733,98
59,-1.45513642079,12
60,1.22262063716,70
61,-1.17196768332,92
62,0.806511367047,54
63,-0.188213677866,84
64,-1.27344660928,3
65,-0.568082804376,57
66,1.26256434256,96
67,0.0484762673444,16
68,-0.802090399187,45
69,0.598176981081,41
70,-0.785188338213,77
71,2.52269038976,42
72,1.36865226204,21
73,0.735157403943,39
74,-0.0175766477204,42
75,-0.453916802919,92
76,-1.27847598823,82
77,0.103011752972,30
78,-1.284975915,19
79,0.417015172842,87
80,-0.0248006171077,89
81,0.739075604279,12
82,0.38115352821,97
83,-1.47171028369,56
84,-0.168415863875,48
85,0.749834397535,13
86,0.189298584432,68
87,-0.983431103787,43
88,0.58301020643,17
89,0.0134791438888,7
90,-0.601111531017,92
91,-0.679611709561,91
92,-0.299811410849,20
93,-0.624390544678,61
94,-0.416933188864,66
95,-1.26633138997,48
96,0.112427973313,89
97,0.548385596077,72
98,-0.551181604592,4
99,1.00682015022,90
100,1.77442089817,19
101,0.484756025915,19
102,0.84098268466,78
103,1.06180669452,27
104,1.01376516869,6
105,-0.114152423985,95
106,1.80484635548,58
107,0.51428017529,3
108,-1.56564101116,33
109,-0.0755821670529,19
110,0.322642913561,69
111,-0.62831677181,63
112,-0.207782262183,12
113,-0.592581694238,3
114,-0.241137552014,26
115,0.450211741323,17
116,0.142657931158,90
117,-1.8424249187,67
118,0.954915314646,80
119,-0.544203105449,34
120,2.72261436648,32
121,-2.48339037244,75
122,1.30466580192,26
123,0.318827657076,70
124,1.03911386657,26
125,-1.38137918655,50
126,0.903283113997,67
127,-0.275673424824,53
128,1.72410605078,90
129,-0.853310130116,7
130,0.612037378852,20
131,1.57850587542,99
132,0.341693840698,48
133,-2.29112196883,91
134,0.613044087762,74
135,-0.911384981591,46
136,0.624412949408,21
137,-1.36624209743,91
138,0.772233859079,84
139,2.13242513901,73
140,-0.343760971724,53
141,-0.375883294304,60
142,1.33002578729,92
143,0.240002356724,66
144,-0.162140278832,69
145,0.332758943168,85
146,0.37101944,87
147,0.812557948749,61
148,-0.545011122301,1
149,-0.572127888366,42
150,0.000966736928141,7
151,-0.517030893428,23
152,0.0664137500199,92
153,-0.211855053691,93
154,-1.05660155639,82
155,0.536944089649,99
156,0.128268126739,42
157,0.322616830392,68
158,0.109597896242,27
159,0.796621007183,73
160,-0.0246013989319,20
161,-1.1136292146,17
162,0.963424767075,69
163,1.32896081315,89
165,-0.862056528204,58
166,-1.15811569615,48
167,0.599633616519,93
168,0.810003536529,88
169,-0.686753064258,85
170,-0.935527152628,16
171,-0.125698826677,62
172,1.53154906371,3
173,-0.871022230291,2
174,1.02492724793,51
175,-0.403988778802,35
176,0.765977158919,55
177,1.02918037926,88
178,-1.70842905043,5
179,-0.301139830841,63
180,-1.07561647213,80
181,-0.997667139805,12
182,1.53400036764,14
183,-0.315766526987,17
184,-0.734706277499,23
185,0.903576965898,70
186,0.81765128669,65
187,0.187811579058,61
188,-1.82591285709,32
189,1.45482486952,35
190,-0.687226822903,45
191,2.6594753241,66
192,-1.79323992021,49
193,-0.474615081232,41
194,1.41428711718,3
195,-0.176664920394,74
196,0.29670557769,31
197,-0.615116773397,54
198,1.02415148623,92
199,0.321841032168,61
200,-1.25492527816,51
201,1.40350396236,16
202,0.921517693752,86
203,0.517689019849,4
204,-1.3243634963,96
205,-0.249344061907,70
206,-1.37099822253,63
207,-1.65670169156,34
208,0.762990817572,71
209,-1.64162848344,98
210,2.11466611491,62
211,1.25232561426,33
212,-0.253274572605,79
213,0.162610268194,64
214,0.19812060286,82
215,-1.36405312615,58
216,-0.386837030811,56
217,1.14486368555,7
218,-2.0175545816,6
219,-1.59392907651,78
220,0.372192219092,58
221,0.875021997155,92
222,-0.190321622181,63
223,-0.593115516794,60
224,0.738536003898,96
225,-0.543926268961,61
226,-0.563763599646,70
227,0.622397912345,85
228,-0.307009145683,42
229,1.33461206392,51
230,-0.978514023825,30
231,-1.97734166843,3
232,-0.118441179993,29
233,-1.39167787188,85
234,-0.895168308731,9
235,1.56953446773,88
236,-1.45768032815,49
237,2.50728778966,23
238,-0.315210018443,97
239,-1.01337093298,83
240,-0.30533543701,98
241,0.797539165789,13
242,0.149918641706,41
243,1.08490018366,88
244,0.152580362081,92
245,-1.3957927059,99
246,0.00990851310696,53
247,0.984624556213,80
248,0.0530515771093,86
249,-1.16341292235,67
250,-1.51158952303,5
251,1.30832322121,25
252,-0.105000861915,90
253,-0.397042463846,28
254,0.575155254491,55
255,0.116584970821,56
256,-0.780847188647,20
257,-0.476153536024,99
258,2.08457617529,91
259,-0.417165551704,35
260,0.864909556433,85
261,-0.209415316621,90
262,-1.40690100426,53
263,0.670303528723,16
264,-1.07353887526,64
265,0.670742033275,71
266,-0.652432619672,6
267,-1.14281779744,72
268,-0.347661154309,64
269,-1.51187272299,42
270,1.27642145804,42
271,-0.670153750931,99
272,-1.16242128307,8
273,0.712379323844,17
274,0.922461039022,98
275,-0.908458250615,92
276,0.951188760338,86
277,1.18660566577,99
278,-0.319278808289,16
279,1.02863219075,20
280,0.487832063649,96
281,-0.112288022684,85
282,0.360536146317,55
283,-0.861108045916,30
284,-0.343756504957,86
285,1.2575507056,92
286,-0.921456355937,68
287,-1.27731559337,11
288,-1.25336438745,19
289,0.00430181777975,43
290,-0.373812075055,57
291,-0.185825372038,35
292,0.818324854862,93
293,0.635716829947,19
294,-0.895946307504,79
295,0.163476290328,78
296,-2.17181888921,23
297,-1.84441671854,33
298,0.625878976698,6
299,0.753881655383,86
300,1.93350384198,13
301,-0.43401373758,34
302,0.750449569608,81
303,0.147724020549,35
304,-0.555713420785,11
305,-2.01282198865,88
306,0.190364071799,8
307,0.422631648315,96
308,-0.371080918908,58
309,-0.0810977234523,20
310,-0.173584514969,84
311,-0.186639296515,47
312,-0.511026869346,50
313,0.654854363392,62
314,0.475751026754,5
315,-0.935488396293,18
316,2.33427146371,35
317,1.21250611244,6
318,0.175723040662,20
319,1.53969282864,73
320,0.579767438472,8
321,-2.25740323926,81
322,-2.06732362995,21
323,0.99543198275,97
324,0.402645451719,32
325,-1.86766321053,64
326,-1.21648679469,12
327,-1.43028928687,28
